experiment,status,note
1,completed,40 baseline fits: five models × four datasets × two protocols.
2,completed,8/8 units completed; 0 waiting; 0 failed.
3,completed,Full H0+H1 revised-l complete; historical500 16/16 configurations complete.
4,completed,32/32 units completed; 0 waiting; 0 failed.
5,completed,4/4 units completed; 0 waiting; 0 failed.
6,completed,32/32 units completed; 0 waiting; 0 failed.
7,completed,32/32 units completed; 0 waiting; 0 failed.
8,completed,32/32 units completed; 0 waiting; 0 failed.
9,completed,4/4 units completed; 0 waiting; 0 failed.
10,completed,32/32 units completed; 0 waiting; 0 failed.
11,completed,32/32 units completed; 0 waiting; 0 failed.
12,completed,4/4 units completed; 0 waiting; 0 failed.
13,completed,4/4 units completed; 0 waiting; 0 failed.
14,completed,4/4 units completed; 0 waiting; 0 failed.
15,completed,32/32 units completed; 0 waiting; 0 failed.
16,completed,4/4 units completed; 0 waiting; 0 failed.
17,completed,4/4 units completed; 0 waiting; 0 failed.
18,completed,4/4 units completed; 0 waiting; 0 failed.
19,completed,32/32 units completed; 0 waiting; 0 failed.
21,completed,4/4 units completed; 0 waiting; 0 failed.
22,completed,4/4 units completed; 0 waiting; 0 failed.
23,completed,Clean independent train/test snapshots complete for revised-l; historical500 follows manifest.
24,completed,Revised-l complete; historical500 reuse audits available for 16/16 configurations.
25,completed,Revised-l complete; historical500 16/16 configurations available.
26,completed,Two-NN and Levina-Bickel estimates saved for all revised-l configurations.
27,completed,Revised-l complete; historical500 16/16; barcode-vector proxy only.
